                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.2932,                 1.2112,                 1.4292,                0.69576,                0.59639,                0.62961,                0.33247,                 1.6538,                 1.4325,                 1.8509,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.2967,                 1.2189,                 1.4311,                 0.6871,                0.58945,                 0.6279,                0.33164,                 1.6364,                 1.4005,                 1.8131,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.2909,                 1.2246,                  1.434,                0.75354,                0.60067,                0.67307,                0.35146,                 1.6513,                 1.3275,                 1.8256,               0.008812,               0.008812,               0.008812
                     63,                 1.2784,                 1.2088,                 1.4186,                0.67943,                 0.6177,                0.65688,                0.34001,                 1.6496,                 1.3328,                 1.8309,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.2916,                 1.1999,                 1.4261,                0.70114,                 0.6083,                0.66889,                0.35856,                 1.6138,                 1.3114,                 1.8057,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.2833,                 1.1977,                 1.4282,                0.74222,                0.60075,                0.66333,                0.34799,                 1.6313,                 1.3311,                 1.8073,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.2831,                 1.1744,                  1.411,                0.77171,                 0.6083,                0.68253,                0.35961,                 1.6346,                 1.3082,                 1.8097,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.2798,                  1.188,                 1.4225,                0.73075,                0.64467,                0.67666,                 0.3575,                 1.6154,                 1.2861,                 1.8134,               0.008713,               0.008713,               0.008713
                     68,                 1.2921,                 1.1962,                 1.4191,                0.71265,                0.58168,                0.63789,                0.33852,                 1.6253,                 1.3829,                 1.8131,              0.0086932,              0.0086932,              0.0086932
                     69,                  1.266,                 1.1832,                 1.4145,                0.71084,                0.63977,                0.67956,                0.35766,                 1.6183,                 1.3182,                 1.7911,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.2544,                  1.162,                    1.4,                 0.7203,                0.63149,                0.66481,                0.34473,                 1.6478,                 1.2818,                 1.8284,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.2604,                 1.1628,                 1.3983,                0.69652,                 0.6411,                0.65853,                0.35283,                 1.6185,                 1.2988,                 1.7902,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.2517,                 1.1525,                 1.3952,                0.65235,                0.63401,                0.66173,                0.33994,                 1.6463,                 1.3043,                 1.8056,               0.008614,               0.008614,               0.008614
                     73,                 1.2662,                 1.1796,                 1.4085,                0.72238,                0.56325,                0.62012,                0.32868,                 1.6586,                 1.4114,                 1.8481,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.2561,                 1.1635,                 1.4035,                0.71161,                 0.6104,                0.66402,                0.34594,                 1.6449,                 1.3147,                 1.8142,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.2607,                 1.1554,                 1.4039,                0.74764,                0.61932,                0.67778,                0.35852,                 1.6564,                 1.3057,                 1.8384,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.2688,                 1.1554,                 1.4031,                0.70561,                0.63152,                0.66947,                0.35451,                 1.6397,                 1.3416,                 1.8193,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.2448,                 1.1481,                 1.3944,                0.71787,                0.62962,                0.66117,                0.34843,                 1.6211,                 1.3474,                 1.8077,               0.008515,               0.008515,               0.008515
                     78,                 1.2416,                 1.1233,                 1.3849,                0.72906,                0.61073,                0.65908,                   0.36,                 1.6147,                  1.362,                 1.7937,              0.0084952,              0.0084952,              0.0084952
                     79,                  1.258,                 1.1215,                 1.3796,                0.74641,                 0.6503,                0.69387,                0.36237,                 1.6267,                 1.2744,                 1.8117,              0.0084754,              0.0084754,              0.0084754
                     80,                  1.238,                  1.118,                 1.3819,                0.71976,                0.64277,                0.68151,                0.36261,                 1.6398,                 1.2837,                 1.8121,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.2399,                 1.1234,                 1.3812,                0.72308,                0.63238,                0.67193,                0.35779,                 1.6277,                 1.2672,                  1.815,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.2295,                  1.103,                 1.3778,                0.73252,                0.62709,                0.66638,                0.35842,                  1.606,                 1.2973,                 1.7924,               0.008416,               0.008416,               0.008416
                     83,                 1.2446,                 1.1086,                 1.3828,                0.74963,                0.64998,                0.69541,                0.36485,                 1.6498,                 1.2486,                 1.8313,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.2272,                 1.0922,                 1.3699,                0.73501,                0.65221,                0.68117,                0.35943,                 1.6373,                 1.2587,                 1.7982,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.2406,                 1.1043,                 1.3732,                0.74566,                0.63984,                 0.6915,                0.36947,                 1.6298,                  1.261,                 1.7808,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.2159,                 1.1026,                   1.37,                 0.6742,                0.66297,                0.67259,                0.35566,                 1.6641,                 1.2655,                 1.8246,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.2235,                 1.0825,                 1.3733,                  0.755,                0.62459,                 0.6844,                0.35994,                 1.6606,                 1.2729,                 1.8177,               0.008317,               0.008317,               0.008317
                     88,                 1.2289,                 1.0945,                 1.3705,                 0.7562,                0.63217,                0.68543,                0.35952,                 1.6787,                 1.2985,                 1.8154,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.2084,                 1.0826,                 1.3537,                0.76023,                0.59884,                0.66811,                0.35345,                 1.6737,                 1.2761,                 1.8737,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.2158,                 1.0823,                 1.3671,                0.73389,                0.64282,                0.69532,                0.35904,                 1.6757,                 1.2732,                 1.8348,              0.0082576,              0.0082576,              0.0082576
                     91,                  1.222,                 1.0821,                 1.3678,                0.74934,                0.62335,                0.68792,                0.36018,                 1.6567,                 1.2965,                 1.8328,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.2259,                 1.0722,                 1.3677,                0.81354,                0.62522,                0.69705,                0.37154,                 1.6435,                 1.2457,                 1.8022,               0.008218,               0.008218,               0.008218
                     93,                  1.202,                 1.0627,                 1.3528,                0.72495,                0.61168,                0.66418,                0.35267,                 1.6623,                 1.2951,                 1.8032,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.2088,                 1.0709,                 1.3589,                0.75724,                0.62398,                0.67208,                0.35468,                 1.6554,                 1.2627,                 1.8494,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.2164,                 1.0676,                 1.3621,                0.72324,                0.62414,                0.67835,                0.36293,                  1.642,                 1.2547,                 1.7981,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.1887,                 1.0471,                 1.3468,                0.76841,                0.63078,                0.68878,                 0.3576,                 1.6732,                 1.2838,                  1.824,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.2003,                   1.04,                 1.3388,                0.77141,                0.61783,                0.68258,                0.36637,                 1.6313,                 1.2648,                 1.7981,               0.008119,               0.008119,               0.008119
                     98,                 1.1886,                 1.0522,                 1.3505,                0.76276,                 0.6205,                 0.6803,                0.35791,                 1.6646,                 1.2628,                 1.8518,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.2115,                  1.058,                 1.3573,                0.78146,                 0.6309,                0.69292,                0.36435,                 1.6112,                 1.2185,                 1.7928,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.2059,                 1.0655,                 1.3499,                0.79086,                0.61476,                0.70101,                0.37451,                 1.6054,                 1.2262,                 1.7737,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.1948,                 1.0512,                 1.3517,                0.74548,                 0.6158,                 0.6784,                 0.3624,                 1.6268,                 1.2705,                 1.8107,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.1962,                 1.0357,                 1.3402,                0.77479,                0.61518,                0.67967,                0.35506,                 1.6494,                  1.273,                 1.8515,                0.00802,                0.00802,                0.00802
                    103,                  1.178,                 1.0261,                 1.3358,                0.71401,                0.64765,                 0.6752,                0.35529,                 1.6528,                 1.2636,                 1.8238,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.1984,                  1.065,                 1.3531,                0.77687,                0.62084,                0.68838,                0.36206,                 1.6177,                 1.2421,                 1.7993,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.1926,                 1.0116,                 1.3232,                0.77046,                  0.624,                0.67956,                0.35495,                   1.65,                 1.2718,                 1.8158,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.1624,                 1.0132,                 1.3293,                 0.7831,                0.61706,                0.67858,                0.35792,                 1.6017,                 1.2582,                 1.8008,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.1879,                 1.0201,                 1.3297,                0.77901,                0.64472,                0.70706,                0.37053,                  1.627,                 1.2314,                  1.813,               0.007921,               0.007921,               0.007921
                    108,                 1.1717,                  1.013,                  1.332,                0.77925,                0.61461,                0.68617,                0.36113,                  1.618,                 1.2126,                 1.8011,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.1664,                 1.0046,                 1.3241,                0.76005,                0.64264,                0.68308,                0.36774,                 1.6198,                 1.2365,                 1.8029,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.1767,                 1.0173,                 1.3225,                0.80052,                0.59891,                0.69023,                0.36726,                 1.6323,                 1.2057,                 1.8444,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.1679,                0.99433,                 1.3212,                 0.7457,                0.63031,                0.67917,                0.36527,                 1.6311,                 1.2389,                  1.831,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.1715,                 1.0106,                 1.3229,                0.75727,                0.62069,                0.68301,                0.36895,                 1.6131,                 1.2344,                 1.8092,               0.007822,               0.007822,               0.007822
                    113,                 1.1478,                0.99311,                 1.3148,                0.76511,                0.63161,                0.69125,                 0.3733,                 1.6254,                 1.2236,                 1.8384,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.1747,                 1.0191,                  1.334,                0.74212,                0.64174,                0.68533,                0.36493,                 1.6328,                 1.2082,                 1.8237,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.1582,                0.99265,                 1.3204,                0.73168,                 0.6428,                0.68693,                0.36415,                 1.6354,                 1.2186,                 1.8196,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.1552,                0.99954,                 1.3151,                0.75278,                0.64593,                0.69511,                 0.3717,                 1.6627,                 1.1996,                  1.841,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.1537,                 0.9833,                 1.3146,                0.75299,                 0.6466,                0.69346,                0.36403,                 1.6386,                  1.192,                 1.8216,               0.007723,               0.007723,               0.007723
                    118,                 1.1544,                0.97263,                 1.3123,                0.76328,                0.63224,                0.69538,                 0.3774,                 1.6276,                 1.2084,                  1.797,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.1529,                0.97676,                 1.3059,                0.79712,                0.61645,                0.69473,                0.37006,                  1.654,                 1.1987,                 1.8411,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.1625,                 0.9771,                 1.3113,                0.74009,                 0.6472,                0.68739,                0.36941,                   1.64,                 1.2428,                 1.8288,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.1661,                 1.0022,                 1.3215,                0.77637,                0.63424,                0.70455,                0.37935,                 1.6119,                  1.166,                 1.8108,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.1413,                0.96681,                 1.3092,                0.76547,                0.65413,                0.70127,                0.38254,                 1.6298,                 1.1734,                 1.8037,               0.007624,               0.007624,               0.007624
                    123,                 1.1471,                 0.9684,                 1.3111,                0.74852,                0.65412,                0.69606,                 0.3653,                 1.6216,                 1.1746,                 1.8217,              0.0076042,              0.0076042,              0.0076042
                    124,                  1.153,                0.98076,                  1.307,                0.79834,                0.62097,                 0.6996,                0.37904,                 1.6035,                 1.1786,                 1.7957,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.1406,                0.95578,                 1.3014,                0.79435,                 0.6309,                0.68328,                0.36181,                 1.6505,                 1.1599,                 1.8438,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.1388,                0.96008,                 1.3086,                0.80796,                0.62398,                0.70777,                0.37676,                 1.6132,                 1.1705,                 1.7988,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.1472,                0.96504,                 1.3026,                0.77624,                0.64046,                0.69412,                0.37171,                 1.6171,                 1.1772,                 1.8089,               0.007525,               0.007525,               0.007525
                    128,                 1.1486,                0.97832,                 1.3088,                0.76776,                0.64843,                0.68699,                0.36767,                 1.6442,                 1.2033,                 1.8384,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.1363,                0.96072,                 1.2996,                0.75408,                0.65187,                0.69783,                0.36876,                 1.6426,                 1.2028,                  1.829,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.1415,                0.95969,                 1.3028,                0.74835,                0.65417,                0.70151,                0.37416,                 1.6248,                 1.1688,                 1.7981,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.1263,                0.95057,                 1.2875,                 0.7732,                0.66732,                 0.6979,                0.37289,                 1.6244,                 1.1653,                 1.7999,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.1305,                0.94969,                 1.2918,                0.79156,                  0.661,                0.71082,                  0.383,                 1.6296,                  1.166,                 1.8194,               0.007426,               0.007426,               0.007426
                    133,                 1.1431,                0.95387,                 1.3086,                0.77121,                0.66417,                0.71739,                0.37334,                 1.6188,                 1.1568,                 1.8009,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.1388,                0.94067,                  1.294,                0.78525,                0.68836,                0.73285,                0.39424,                 1.5917,                  1.119,                 1.7893,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.1374,                0.93625,                 1.2956,                0.77761,                0.64029,                  0.706,                0.37783,                 1.6469,                 1.2092,                 1.8303,              0.0073666,              0.0073666,              0.0073666
                    136,                   1.13,                0.94661,                 1.2916,                0.75202,                 0.6723,                0.72122,                 0.3816,                 1.6459,                 1.1585,                 1.8166,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.1245,                0.94162,                 1.2917,                0.76407,                0.66044,                0.71612,                0.37606,                   1.63,                 1.1365,                 1.8186,               0.007327,               0.007327,               0.007327
                    138,                 1.1179,                0.93887,                  1.295,                0.75763,                0.67607,                0.70813,                0.37425,                 1.6628,                 1.1541,                  1.863,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.1144,                0.92724,                 1.2882,                0.78502,                0.62533,                0.70148,                0.37107,                 1.6427,                 1.1633,                 1.8336,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.1205,                 0.9316,                   1.29,                0.76365,                0.64786,                0.70612,                0.38219,                  1.626,                 1.1677,                 1.8338,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.1109,                0.92674,                   1.29,                0.77141,                0.66418,                0.72181,                0.38459,                 1.6273,                 1.1274,                 1.8298,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.1107,                0.91768,                 1.2846,                0.76691,                 0.6587,                0.70491,                0.36812,                 1.6311,                 1.1754,                 1.8274,               0.007228,               0.007228,               0.007228
                    143,                 1.1082,                0.90099,                 1.2808,                0.75311,                0.65934,                0.69782,                0.36651,                 1.6502,                 1.1638,                 1.8462,              0.0072082,              0.0072082,              0.0072082
                    144,                 1.1111,                0.91656,                  1.289,                  0.783,                0.66038,                 0.7154,                0.37935,                 1.6292,                 1.1271,                  1.823,              0.0071884,              0.0071884,              0.0071884
                    145,                  1.105,                0.91972,                 1.2745,                 0.7745,                0.64344,                0.69678,                0.36784,                 1.6512,                 1.1311,                 1.8292,              0.0071686,              0.0071686,              0.0071686
                    146,                 1.1114,                0.91177,                 1.2816,                0.77466,                 0.6648,                0.70444,                0.37609,                 1.6053,                 1.1345,                 1.7991,              0.0071488,              0.0071488,              0.0071488
                    147,                 1.1078,                0.91703,                 1.2794,                0.80144,                0.64971,                0.71411,                0.38607,                 1.6002,                 1.1264,                 1.7969,               0.007129,               0.007129,               0.007129
                    148,                 1.0864,                0.89397,                  1.269,                0.80929,                0.63545,                0.70722,                0.37904,                 1.6134,                 1.1262,                 1.8205,              0.0071092,              0.0071092,              0.0071092
                    149,                 1.1009,                0.90034,                 1.2657,                0.72839,                0.65555,                0.68811,                0.36168,                 1.6229,                 1.1415,                 1.8199,              0.0070894,              0.0070894,              0.0070894
